state,city,population,location
AL,Birmingham,212237,"(33.52756637730, -86.7988174678)"
AL,Hoover,81619,"(33.37676027290, -86.8051937568)"
AL,Huntsville,180105,"(34.69896926710, -86.6387042882)"
AL,Mobile,195111,"(30.67762486480, -88.1184482714)"
AL,Montgomery,205764,"(32.34726453330, -86.2677059552)"
AL,Tuscaloosa,90468,"(33.23360839510, -87.5268004073)"
AK,Anchorage,291826,"(61.14986873100, -149.111113424)"
AZ,Avondale,76238,"(33.38583674050, -112.323626619)"
AZ,Chandler,236123,"(33.28318981000, -111.852210033)"
AZ,Gilbert,208453,"(33.31014939200, -111.746237467)"
AZ,Glendale,226721,"(33.57961230890, -112.225306421)"
AZ,Mesa,439041,"(33.40228373590, -111.718721181)"
AZ,Peoria,154065,"(33.78472064220, -112.298680584)"
AZ,Phoenix,1445632,"(33.57241386950, -112.088995222)"
AZ,Scottsdale,217385,"(33.68724936510, -111.865085877)"
AZ,Surprise,117517,"(33.68038351770, -112.452218439)"
AZ,Tempe,161719,"(33.38826403070, -111.931802302)"
AZ,Tucson,520116,"(32.15672444830, -110.877085494)"
AZ,Yuma,93064,"(32.59860271170, -114.548368370)"
AR,Fayetteville,73580,"(36.07121173120, -94.1659600436)"
AR,Fort Smith,86209,"(35.34916926360, -94.3696317306)"
AR,Jonesboro,67263,"(35.82081215380, -90.6794991686)"
AR,Little Rock,193524,"(34.72539578940, -92.3583751863)"
AR,Springdale,69797,"(36.18699325980, -94.1536274531)"
CA,Alameda,73812,"(37.76508490310, -122.266489842)"
CA,Alhambra,83089,"(34.08397343830, -118.135514119)"
CA,Anaheim,336265,"(33.83890769960, -117.857613481)"
CA,Antioch,102372,"(37.97770429220, -121.796606971)"
CA,Apple Valley,69135,"(34.53159849480, -117.211012664)"
CA,Bakersfield,347483,"(35.35133028550, -119.029786003)"
CA,Baldwin Park,75390,"(34.08287151900, -117.972100918)"
CA,Bellflower,76616,"(33.88804179230, -118.127100236)"
CA,Berkeley,112580,"(37.87256787650, -122.274907975)"
CA,Buena Park,80530,"(33.85721268440, -118.004517591)"
CA,Burbank,103340,"(34.18797996050, -118.323429032)"
CA,Carlsbad,105328,"(33.12480510260, -117.282903303)"
CA,Carson,91714,"(33.83740830010, -118.255936422)"
CA,Chico,86187,"(39.75685036680, -121.815983972)"
CA,Chino,77983,"(33.98358812600, -117.665296584)"
CA,Chino Hills,74799,"(33.95077454600, -117.725326968)"
CA,Chula Vista,243916,"(32.62829642620, -117.010042407)"
CA,Citrus Heights,83301,"(38.69477883420, -121.287991502)"
CA,Clovis,95631,"(36.82894001790, -119.686652850)"
CA,Compton,96455,"(33.89296569300, -118.227506568)"
CA,Concord,122067,"(37.97218103070, -122.001588036)"
CA,Corona,152374,"(33.86235717870, -117.564224471)"
CA,Costa Mesa,109960,"(33.66676513530, -117.913504750)"
CA,Daly City,101123,"(37.68615522760, -122.468298024)"
CA,Downey,111772,"(33.93786725600, -118.131150116)"
CA,El Cajon,99478,"(32.80165819210, -116.960483614)"
CA,Elk Grove,153015,"(38.41599920060, -121.384137762)"
CA,El Monte,113475,"(34.07391965300, -118.029071951)"
CA,Escondido,143911,"(33.13469529550, -117.072122618)"
CA,Fairfield,105321,"(38.25584463430, -122.039303253)"
CA,Folsom,72203,"(38.67504943280, -121.147605753)"
CA,Fontana,196069,"(34.09742278330, -117.459241285)"
CA,Fremont,214089,"(37.52786854050, -121.984121512)"
CA,Fresno,494665,"(36.78267867110, -119.794126569)"
CA,Fullerton,135161,"(33.88403780130, -117.927850895)"
CA,Garden Grove,170883,"(33.77869406350, -117.960111162)"
CA,Glendale,191719,"(34.18188937300, -118.246766660)"
CA,Hawthorne,84293,"(33.91466770100, -118.347667728)"
CA,Hayward,144186,"(37.63295915510, -122.077051051)"
CA,Hemet,78657,"(33.73522773110, -116.994605005)"
CA,Hesperia,90173,"(34.39734767730, -117.314392219)"
CA,Huntington Beach,189992,"(33.69527490770, -118.001810806)"
CA,Indio,76036,"(33.72980678370, -116.237258141)"
CA,Inglewood,109673,"(33.95657480180, -118.344444926)"
CA,Irvine,212375,"(33.67801089040, -117.773633283)"
CA,Lake Forest,77264,"(33.66341289480, -117.670683341)"
CA,Lakewood,80048,"(33.84705319410, -118.122204765)"
CA,Lancaster,156633,"(34.69343470170, -118.175306356)"
CA,Livermore,80968,"(37.68651013610, -121.764357841)"
CA,Long Beach,462257,"(33.80601448250, -118.160894146)"
CA,Los Angeles,3792621,"(34.11822778980, -118.408500088)"
CA,Lynwood,69772,"(33.92396168670, -118.201648375)"
CA,Manteca,67096,"(37.79619251020, -121.231230612)"
CA,Menifee,77519,"(33.69095330450, -117.184876990)"
CA,Merced,78958,"(37.30558632170, -120.477710571)"
CA,Milpitas,66790,"(37.43386976300, -121.892083025)"
CA,Mission Viejo,93305,"(33.60959768910, -117.655029608)"
CA,Modesto,201165,"(37.66154782210, -120.988548061)"
CA,Moreno Valley,193365,"(33.92443141120, -117.204501895)"
CA,Mountain View,74066,"(37.39992523790, -122.079544343)"
CA,Murrieta,103466,"(33.57197433560, -117.190921143)"
CA,Napa,76915,"(38.29804246490, -122.301093331)"
CA,Newport Beach,85186,"(33.61501036070, -117.867364631)"
CA,Norwalk,105549,"(33.90688082280, -118.082915204)"
CA,Oakland,390724,"(37.79087803500, -122.214859257)"
CA,Oceanside,167086,"(33.22474574740, -117.308200285)"
CA,Ontario,163924,"(34.03926494640, -117.606427103)"
CA,Orange,136416,"(33.80464195670, -117.823185500)"
CA,Oxnard,197899,"(34.19592377310, -119.181876570)"
CA,Palmdale,152750,"(34.59448998030, -118.105772328)"
CA,Pasadena,137122,"(34.15976348060, -118.138921644)"
CA,Perris,68386,"(33.78973460940, -117.223291831)"
CA,Pleasanton,70285,"(37.66560921710, -121.880775002)"
CA,Pomona,149058,"(34.05850263660, -117.762551658)"
CA,Rancho Cucamonga,165269,"(34.12458955550, -117.566175870)"
CA,Redding,89861,"(40.56975912710, -122.365026322)"
CA,Redlands,68747,"(34.05113153170, -117.170935294)"
CA,Redondo Beach,66748,"(33.85752801590, -118.376567893)"
CA,Redwood City,76815,"(37.50091452760, -122.224767617)"
CA,Rialto,99171,"(34.11281580890, -117.388535978)"
CA,Richmond,103701,"(37.94797103650, -122.336803759)"
CA,Riverside,303871,"(33.93812516850, -117.394845824)"
CA,Roseville,118788,"(38.76575161820, -121.302847708)"
CA,Sacramento,466488,"(38.56663215670, -121.468299801)"
CA,Salinas,150441,"(36.68891743210, -121.631811961)"
CA,San Bernardino,209924,"(34.13923228440, -117.295272732)"
CA,San Buenaventura (Ventura),106433,"(34.27436102060, -119.231436551)"
CA,San Diego,1307402,"(32.83556394180, -117.119792061)"
CA,San Francisco,805235,"(37.75591366110, -122.440987876)"
CA,San Jose,945942,"(37.30039631760, -121.847228423)"
CA,San Leandro,84950,"(37.70742992620, -122.159061655)"
CA,San Marcos,83781,"(33.13496598600, -117.174363098)"
